FK-ListOfOptions;Expert Note;laymanTranslation;Keywords;Gemeinnützig boolean;filter;;;;;;;;;;;;;;;;;;;;
"die Förderung von Wissenschaft und Forschung;";"Grundlagenforschung („reine“ Wissenschaft), Anwendungsforschung, die das aus der Forschung hervorgegangene Wissen und Erkennen auf konkrete Vorgänge anwendet (BFH, Urteil vom 30.3.1976, Az: VIII R 137/75)

Lehre ist Wissenschaft und Forschung als sie nach Inhalt, Systematik und Methodik auf einem Niveau erfolgt, das auch zur Forschung befähigt. Die Weitervermittlung des Wissens kann aber auch als Bildung und Erziehung nach § 52 Abs. 2 Nr. 7 AO steuerbegünstigt sein.";Grundlagenforschung, generelle Forschung, Vorträge auf universitärem Niveau, Wissenschaftliche Tagungen und Kongresse, Unterhalten eines wissenschaftlichen Archivs oder Sammlung, Herausgabe von wisschenscahftlichen Büchern, Gutachten (müssen aber zu neuen Sachverhalten sein);Forschung, Akademie, Institut, Lehre, Universität, Tagung, Bücher, Gutachten, Schule, Training;WAHR;x;;;;;;;;;;;;;;;;;;;;
"die Förderung der Religion;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung des öffentlichen Gesundheitswesens und der öffentlichen Gesundheitspflege, insbesondere die Verhütung und Bekämpfung von übertragbaren Krankheiten, auch durch Krankenhäuser im Sinne des § 67, und von Tierseuchen;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung der Jugend- und Altenhilfe;";"Unterstützung bis zum Ende des 26. Lebensjahr.
Es fallen also alle Einrichtungen in den Bereich der Jugendhilfe, die Erziehungsaufgaben ebenso zur Aufgabe haben, wie junge Menschen in ihrer Entwicklung zu fördern und
diese zu eigenverantwortlichen und gemeinschaftsfähigen Persönlichkeiten heranwachsen
zu lassen. Zur Jugendhilfe gehören deshalb
Altenhilfe: dazu beitragen, Schwierigkeiten, die durch das Alter entstehen zu verhüten, zu überwinden und zu mildern und alten Menschen die Möglichkeit erhalten, am Leben
in der Gemeinschaft teilzunehmen";"Betreiben eines Kindergarten, Betreiben einer Jugendherberge, Betreiben eines Lehrlingsheimes, Betreiben eines Jugendheimes, Jugendarbeit, Jugendsozialarbeit, den erzieherischen
Jugendschutz, Familienförderung, Förderung von Jugendlichen im Allgemeinen, Tätigkeiten die alten Menschen die Möglichkeit erhalten, am Leben in der Gemeinschaft teilzunehmen";Kinder, Jugendliche, Junge, Mädchen, Minderjährig, Teenager, junge Menschen;WAHR;x;;;;;;;;;;;;;;;;;;;;
"die Förderung von Kunst und Kultur;";Die Förderung von Kunst und Kultur umfasst die Bereiche der Musik, der Literatur, der darstellenden und bildenden Kunst und schließt die Förderung von kulturellen Einrichtungen, wie Theater und Museen, sowie von kulturellen Veranstaltungen, wie Konzerte und Kunstausstellungen, ein. Zur Förderung von Kunst und Kultur gehört auch die Förderung der Pflege und Erhaltung von Kulturwerten. Kulturwerte sind Gegenstände von künstlerischer und sonstiger kultureller Bedeutung, Kunstsammlungen und künstlerische Nachlässe, Bibliotheken, Archive sowie andere vergleichbare Einrichtungen.;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung des Denkmalschutzes und der Denkmalpflege;";Die Förderung der Denkmalpflege bezieht sich auf die Erhaltung und Wiederherstellung von Bau- und Bodendenkmälern, die nach den jeweiligen landesrechtlichen Vorschriften anerkannt sind. Die Anerkennung ist durch eine Bescheinigung der zuständigen Stelle nachzuweisen.;;;WAHR;;;;;;;;;;;;;;;;;;;;;
die Förderung der Erziehung, Volks- und Berufsbildung einschließlich der Studentenhilfe;"Internetvereine können wegen Förderung der Volksbildung als gemeinnützig anerkannt werden, sofern ihr Zweck nicht der Förderung der (privat betriebenen) Datenkommunikation durch Zurverfügungstellung von Zugängen zu Kommunikationsnetzwerken sowie durch den Aufbau, die Förderung und den Unterhalt entsprechender Netze zur privaten und geschäftlichen Nutzung durch die Mitglieder oder andere Personen dient.

Freiwilligenagenturen können regelmäßig wegen der Förderung der Bildung (§ 52 Abs. 2 Nr. 7) als gemeinnützig behandelt werden, weil das Schwergewicht ihrer Tätigkeit in der Aus- und Weiterbildung der Freiwilligen liegt (BMF-Schreiben vom 15. 9. 2003 BStBl. I S. 446).";;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung des Naturschutzes und der Landschaftspflege im Sinne des Bundesnaturschutzgesetzes und der Naturschutzgesetze der Länder, des Umweltschutzes, des Küstenschutzes und des Hochwasserschutzes;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung des Wohlfahrtswesens, insbesondere der Zwecke der amtlich anerkannten Verbände der freien Wohlfahrtspflege (§ 23 der Umsatzsteuer-Durchführungsverordnung), ihrer Unterverbände und ihrer angeschlossenen Einrichtungen und Anstalten;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung der Hilfe für politisch, rassisch oder religiös Verfolgte, für Flüchtlinge, Vertriebene, Aussiedler, Spätaussiedler, Kriegsopfer, Kriegshinterbliebene, Kriegsbeschädigte und Kriegsgefangene, Zivilbeschädigte und Behinderte sowie Hilfe für Opfer von Straftaten; Förderung des Andenkens an Verfolgte, Kriegs- und Katastrophenopfer; Förderung des Suchdienstes für Vermisste;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung der Rettung aus Lebensgefahr;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung des Feuer-, Arbeits-, Katastrophen- und Zivilschutzes sowie der Unfallverhütung;";Zur Förderung des Andenkens an Verfolgte, Kriegs- nd Katastrophenopfer gehört auch die Errichtung von Ehrenmalen und Gedenkstätten.;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung internationaler Gesinnung, der Toleranz auf allen Gebieten der Kultur und des Völkerverständigungsgedankens;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung des Tierschutzes;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung der Entwicklungszusammenarbeit;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung von Verbraucherberatung und Verbraucherschutz;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung der Fürsorge für Strafgefangene und ehemalige Strafgefangene;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung der Gleichberechtigung von Frauen und Männern;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung des Schutzes von Ehe und Familie;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung der Kriminalprävention;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
